# Single-mode RR Lyrae stars in the Large and Small Magellanic Clouds.
# Source: Soszynski et al. 2016 (Acta Astronomica 66, 131), the OGLE-IV Collection of
#   Variable Stars, via VizieR J/AcA/66/131 tables lmcrrabc/smcrrabc. Downloaded 2026-08-17.
#
# RRab (fundamental mode) and RRc (first overtone) only. Double-mode RRd and
#   anomalous aRRd stars are left out — they pulsate in two periods at once and
#   would smear both the Bailey diagram and the period–luminosity ridge.
# Every star has an intensity-mean V and I magnitude and an I-band amplitude.
#   Mean magnitudes are apparent: no extinction correction has been applied.
#   The Wesenheit index I - 1.55 (V - I) is derived in the scene, not stored.
#
# period_days is the catalogue period; epoch_max_hjd is its time of maximum
#   light (HJD - 2450000). i_amplitude_mag is peak-to-peak I-band amplitude.
# One row per star.
cloud,star,type,period_days,epoch_max_hjd,mean_v_mag,mean_i_mag,i_amplitude_mag
LMC,OGLE-LMC-RRLYR-09519,RRab,0.5270578,6000.00225,19.468,18.879,0.782
LMC,OGLE-LMC-RRLYR-09521,RRab,0.5967000,6000.18186,19.527,18.923,0.443
LMC,OGLE-LMC-RRLYR-09522,RRab,0.5521902,6000.20250,19.517,18.890,0.469
LMC,OGLE-LMC-RRLYR-09523,RRab,0.6869589,6000.46039,19.401,18.651,0.310
LMC,OGLE-LMC-RRLYR-09525,RRab,0.5056546,6000.27385,19.271,18.826,0.778
LMC,OGLE-LMC-RRLYR-09526,RRab,0.6846340,6000.36811,19.490,18.820,0.229
LMC,OGLE-LMC-RRLYR-09527,RRab,0.2577081,6000.12377,19.992,19.414,0.440
LMC,OGLE-LMC-RRLYR-09528,RRc,0.2700177,6000.19374,19.424,19.048,0.262
LMC,OGLE-LMC-RRLYR-09531,RRab,0.5119959,6000.34464,19.360,18.892,0.749
LMC,OGLE-LMC-RRLYR-09532,RRab,0.5739437,6000.42100,19.425,18.812,0.292
LMC,OGLE-LMC-RRLYR-09533,RRab,0.6226110,6000.34926,19.498,18.834,0.375
LMC,OGLE-LMC-RRLYR-09534,RRc,0.2899938,6000.12056,19.551,19.057,0.296
LMC,OGLE-LMC-RRLYR-09535,RRab,0.5708962,6000.25557,19.366,18.772,0.590
LMC,OGLE-LMC-RRLYR-09536,RRab,0.7368334,6000.63965,19.299,18.661,0.237
LMC,OGLE-LMC-RRLYR-09537,RRab,0.6878402,6000.10379,19.345,18.699,0.550
LMC,OGLE-LMC-RRLYR-09538,RRab,0.4981273,6000.01992,19.261,18.782,0.648
LMC,OGLE-LMC-RRLYR-09540,RRab,0.4697090,6000.23764,19.270,18.776,0.788
LMC,OGLE-LMC-RRLYR-09541,RRc,0.3213825,6000.04834,19.476,19.024,0.249
LMC,OGLE-LMC-RRLYR-09542,RRab,0.5201321,6000.36124,19.838,19.161,0.736
LMC,OGLE-LMC-RRLYR-09543,RRc,0.2818251,6000.24661,19.589,19.149,0.289
LMC,OGLE-LMC-RRLYR-09545,RRab,0.5744263,6000.02283,19.308,18.787,0.548
LMC,OGLE-LMC-RRLYR-09546,RRc,0.3375336,6000.16135,19.235,18.558,0.237
LMC,OGLE-LMC-RRLYR-09547,RRab,0.5536691,6000.36593,19.347,18.787,0.669
LMC,OGLE-LMC-RRLYR-09548,RRab,0.5682790,6000.09898,19.627,18.751,0.436
LMC,OGLE-LMC-RRLYR-09549,RRab,0.5366615,6000.21116,19.453,18.924,0.701
LMC,OGLE-LMC-RRLYR-09551,RRc,0.2765620,6000.21468,19.390,19.029,0.326
LMC,OGLE-LMC-RRLYR-09552,RRab,0.4813508,6000.01165,19.166,18.818,0.710
LMC,OGLE-LMC-RRLYR-09553,RRc,0.3538807,6000.18983,19.369,18.885,0.275
LMC,OGLE-LMC-RRLYR-09554,RRab,0.5685051,6000.35042,19.723,19.084,0.768
LMC,OGLE-LMC-RRLYR-09555,RRab,0.5892853,6000.57419,19.370,18.818,0.416
LMC,OGLE-LMC-RRLYR-09556,RRab,0.5773888,6000.18599,19.079,18.657,0.673
LMC,OGLE-LMC-RRLYR-09557,RRab,0.4984620,6000.18493,19.378,18.862,0.781
LMC,OGLE-LMC-RRLYR-09558,RRab,0.4981979,6000.30097,19.130,18.664,0.656
LMC,OGLE-LMC-RRLYR-09559,RRc,0.3497114,6000.27805,19.236,18.771,0.215
LMC,OGLE-LMC-RRLYR-09560,RRab,0.5507880,6000.21608,19.651,18.987,0.540
LMC,OGLE-LMC-RRLYR-09561,RRab,0.5689839,6000.04963,18.939,18.594,0.554
LMC,OGLE-LMC-RRLYR-09562,RRab,0.5294800,6000.28332,19.951,19.303,0.535
LMC,OGLE-LMC-RRLYR-09563,RRab,0.4887528,6000.08417,19.432,18.933,0.820
LMC,OGLE-LMC-RRLYR-09564,RRab,0.4656950,6000.34701,19.916,19.148,0.607
LMC,OGLE-LMC-RRLYR-09565,RRc,0.2877898,6000.24181,19.363,19.016,0.323
LMC,OGLE-LMC-RRLYR-09566,RRab,0.6275015,6000.40285,19.353,18.782,0.419
LMC,OGLE-LMC-RRLYR-09567,RRab,0.6453127,6000.59804,19.227,18.692,0.407
LMC,OGLE-LMC-RRLYR-09568,RRab,0.5907152,6000.28038,19.534,18.869,0.390
LMC,OGLE-LMC-RRLYR-09569,RRab,0.4103834,6000.25317,19.646,19.200,0.922
LMC,OGLE-LMC-RRLYR-09570,RRab,0.5030141,6000.08423,19.519,18.972,0.565
LMC,OGLE-LMC-RRLYR-09572,RRc,0.3627344,6000.27592,19.320,18.772,0.203
LMC,OGLE-LMC-RRLYR-09574,RRc,0.2541672,6000.11320,19.573,19.156,0.103
LMC,OGLE-LMC-RRLYR-09576,RRab,0.4089761,6000.13748,19.897,19.378,0.619
LMC,OGLE-LMC-RRLYR-09577,RRab,0.7262688,6000.54329,19.505,18.796,0.241
LMC,OGLE-LMC-RRLYR-09579,RRab,0.5903452,6000.04400,18.873,18.296,0.311
LMC,OGLE-LMC-RRLYR-09580,RRab,0.6047188,6000.08209,18.990,18.493,0.386
LMC,OGLE-LMC-RRLYR-09581,RRab,0.5039639,6000.28107,19.889,19.262,0.785
LMC,OGLE-LMC-RRLYR-09583,RRab,0.6187472,6000.48626,19.311,18.705,0.394
LMC,OGLE-LMC-RRLYR-09584,RRab,0.5477084,6000.31976,19.625,18.994,0.657
LMC,OGLE-LMC-RRLYR-09586,RRab,0.5752532,6000.13713,19.225,18.778,0.587
LMC,OGLE-LMC-RRLYR-09587,RRab,0.5885708,6000.05886,19.537,18.915,0.528
LMC,OGLE-LMC-RRLYR-09588,RRab,0.6738816,6000.16951,19.113,18.528,0.443
LMC,OGLE-LMC-RRLYR-09589,RRab,0.6282453,6000.56248,19.036,18.318,0.178
LMC,OGLE-LMC-RRLYR-09590,RRc,0.3490857,6000.06136,19.265,18.716,0.212
LMC,OGLE-LMC-RRLYR-09592,RRc,0.3594242,6000.17763,19.188,18.756,0.246
LMC,OGLE-LMC-RRLYR-09593,RRc,0.3431220,6000.13389,19.323,18.840,0.273
LMC,OGLE-LMC-RRLYR-09594,RRab,0.5777582,6000.35727,19.745,19.125,0.498
LMC,OGLE-LMC-RRLYR-09595,RRab,0.5394697,6000.25704,19.556,18.828,0.536
LMC,OGLE-LMC-RRLYR-09596,RRab,0.6446299,6000.20639,19.890,19.097,0.398
LMC,OGLE-LMC-RRLYR-09597,RRab,0.5601325,6000.13325,19.457,18.855,0.585
LMC,OGLE-LMC-RRLYR-09598,RRab,0.5364458,6000.52564,19.294,18.799,0.661
LMC,OGLE-LMC-RRLYR-09599,RRab,0.6069918,6000.32507,19.372,18.753,0.397
LMC,OGLE-LMC-RRLYR-09600,RRab,0.5839606,6000.45566,19.389,18.817,0.568
LMC,OGLE-LMC-RRLYR-09601,RRab,0.6169185,6000.05331,19.318,18.695,0.308
LMC,OGLE-LMC-RRLYR-09603,RRc,0.2878923,6000.20281,19.316,18.960,0.352
LMC,OGLE-LMC-RRLYR-09604,RRab,0.6377280,6000.54884,19.596,18.927,0.200
LMC,OGLE-LMC-RRLYR-09605,RRc,0.3403076,6000.14245,19.242,18.918,0.263
LMC,OGLE-LMC-RRLYR-09608,RRc,0.3232704,6000.10810,19.175,18.817,0.234
LMC,OGLE-LMC-RRLYR-09609,RRab,0.6379341,6000.20702,19.496,18.836,0.409
LMC,OGLE-LMC-RRLYR-09610,RRc,0.3132113,6000.26365,19.411,19.001,0.377
LMC,OGLE-LMC-RRLYR-09611,RRab,0.6250955,6000.14602,19.294,18.689,0.486
LMC,OGLE-LMC-RRLYR-09613,RRab,0.5360197,6000.52805,18.505,17.438,0.098
LMC,OGLE-LMC-RRLYR-09615,RRab,0.4652538,6000.05395,19.289,18.830,0.829
LMC,OGLE-LMC-RRLYR-09616,RRab,0.5296369,6000.14512,19.472,18.885,0.737
LMC,OGLE-LMC-RRLYR-09619,RRab,0.5432390,6000.05208,19.406,18.909,0.669
LMC,OGLE-LMC-RRLYR-09620,RRc,0.3539136,6000.25339,19.537,19.009,0.268
LMC,OGLE-LMC-RRLYR-09621,RRab,0.6362162,6000.31514,19.389,18.749,0.250
LMC,OGLE-LMC-RRLYR-09622,RRab,0.5855432,6000.44932,19.483,18.824,0.457
LMC,OGLE-LMC-RRLYR-09623,RRab,0.5385619,6000.25484,19.326,18.863,0.691
LMC,OGLE-LMC-RRLYR-09626,RRab,0.5500728,6000.43289,19.267,18.731,0.599
LMC,OGLE-LMC-RRLYR-09627,RRc,0.3967236,6000.32611,19.168,18.745,0.215
LMC,OGLE-LMC-RRLYR-09628,RRab,0.5194461,6000.11078,19.227,18.709,0.834
LMC,OGLE-LMC-RRLYR-09629,RRab,0.4589923,6000.11261,19.486,19.029,0.932
LMC,OGLE-LMC-RRLYR-09630,RRab,0.5111214,6000.25673,19.130,18.442,0.554
LMC,OGLE-LMC-RRLYR-09632,RRab,0.5325987,6000.08487,19.223,18.744,0.788
LMC,OGLE-LMC-RRLYR-09636,RRab,0.6423198,6000.37355,19.174,18.660,0.402
LMC,OGLE-LMC-RRLYR-09637,RRab,0.6612414,6000.04180,19.663,18.976,0.571
LMC,OGLE-LMC-RRLYR-09638,RRab,0.6903743,6000.15033,19.271,18.661,0.254
LMC,OGLE-LMC-RRLYR-09639,RRab,0.6192304,6000.47179,19.335,18.742,0.326
LMC,OGLE-LMC-RRLYR-09640,RRab,0.5507848,6000.15620,19.402,18.806,0.630
LMC,OGLE-LMC-RRLYR-09641,RRab,0.5175641,6000.44181,19.385,18.858,0.730
LMC,OGLE-LMC-RRLYR-09642,RRab,0.6306200,6000.33503,19.227,18.630,0.657
LMC,OGLE-LMC-RRLYR-09643,RRc,0.2783561,6000.27541,19.297,19.016,0.171
LMC,OGLE-LMC-RRLYR-09644,RRab,0.5309514,6000.38131,19.346,18.782,0.657
LMC,OGLE-LMC-RRLYR-09645,RRab,0.5379183,6000.11239,19.321,18.754,0.598
LMC,OGLE-LMC-RRLYR-09646,RRab,0.5876240,6000.44132,19.240,18.686,0.523
LMC,OGLE-LMC-RRLYR-09647,RRab,0.4601145,6000.05538,19.440,18.958,0.923
LMC,OGLE-LMC-RRLYR-09650,RRc,0.3144848,6000.10892,19.345,18.913,0.231
LMC,OGLE-LMC-RRLYR-09651,RRab,0.5425638,6000.05425,19.503,18.830,0.599
LMC,OGLE-LMC-RRLYR-09654,RRab,0.4521811,6000.05241,19.480,19.027,0.935
LMC,OGLE-LMC-RRLYR-09655,RRc,0.3322652,6000.14213,19.096,18.989,0.326
LMC,OGLE-LMC-RRLYR-09656,RRc,0.2324644,6000.16923,19.648,19.322,0.279
LMC,OGLE-LMC-RRLYR-09657,RRab,0.6726792,6000.14366,19.202,18.628,0.629
LMC,OGLE-LMC-RRLYR-09658,RRab,0.6176399,6000.61025,19.195,18.683,0.608
LMC,OGLE-LMC-RRLYR-09660,RRc,0.3067573,6000.05742,19.295,18.978,0.333
LMC,OGLE-LMC-RRLYR-09661,RRab,0.5777464,6000.41044,19.229,18.689,0.277
LMC,OGLE-LMC-RRLYR-09662,RRab,0.6509593,6000.26165,19.313,18.673,0.222
LMC,OGLE-LMC-RRLYR-09663,RRab,0.5437735,6000.16142,19.323,18.778,0.714
LMC,OGLE-LMC-RRLYR-09664,RRab,0.5686967,6000.52206,19.569,18.946,0.786
LMC,OGLE-LMC-RRLYR-09665,RRab,0.5597874,6000.39916,18.455,17.622,0.281
LMC,OGLE-LMC-RRLYR-09666,RRab,0.6523211,6000.45172,19.398,18.771,0.283
LMC,OGLE-LMC-RRLYR-09667,RRc,0.3519451,6000.14192,19.264,18.810,0.261
LMC,OGLE-LMC-RRLYR-09668,RRab,0.6507073,6000.00068,19.151,18.570,0.629
LMC,OGLE-LMC-RRLYR-09669,RRc,0.2845440,6000.14124,19.519,19.081,0.344
LMC,OGLE-LMC-RRLYR-09670,RRab,0.6157871,6000.41688,19.237,18.629,0.495
LMC,OGLE-LMC-RRLYR-09671,RRab,0.6151650,6000.52494,20.311,18.812,0.410
LMC,OGLE-LMC-RRLYR-09672,RRab,0.5297222,6000.08254,19.518,18.974,0.858
LMC,OGLE-LMC-RRLYR-09673,RRc,0.3267918,6000.02074,19.220,18.486,0.201
LMC,OGLE-LMC-RRLYR-09674,RRab,0.6411246,6000.47716,19.392,18.757,0.148
LMC,OGLE-LMC-RRLYR-09675,RRab,0.6472822,6000.50586,19.021,18.356,0.192
LMC,OGLE-LMC-RRLYR-09676,RRab,0.5786751,6000.57565,19.296,18.757,0.548
LMC,OGLE-LMC-RRLYR-09677,RRc,0.2844928,6000.04515,20.392,19.158,0.325
LMC,OGLE-LMC-RRLYR-09678,RRc,0.2720237,6000.19903,19.496,19.110,0.282
LMC,OGLE-LMC-RRLYR-09679,RRab,0.5757702,6000.43718,20.991,19.775,0.458
LMC,OGLE-LMC-RRLYR-09680,RRab,0.5428869,6000.26522,19.543,18.958,0.702
LMC,OGLE-LMC-RRLYR-09681,RRab,0.5770434,6000.54531,19.173,18.619,0.629
LMC,OGLE-LMC-RRLYR-09683,RRab,0.5609364,6000.48796,19.587,18.969,0.510
LMC,OGLE-LMC-RRLYR-09684,RRc,0.3562487,6000.26836,19.227,18.852,0.278
LMC,OGLE-LMC-RRLYR-09685,RRab,0.5585978,6000.15937,19.249,18.730,0.665
LMC,OGLE-LMC-RRLYR-09686,RRab,0.5103391,6000.17256,19.423,18.877,0.744
LMC,OGLE-LMC-RRLYR-09687,RRab,0.5414023,6000.12856,19.219,18.662,0.528
LMC,OGLE-LMC-RRLYR-09688,RRab,0.6252106,6000.05434,19.358,18.723,0.323
LMC,OGLE-LMC-RRLYR-09689,RRab,0.7330212,6000.12163,18.846,18.238,0.348
LMC,OGLE-LMC-RRLYR-09690,RRab,0.5150257,6000.51023,19.515,18.659,0.507
LMC,OGLE-LMC-RRLYR-09692,RRab,0.6154814,6000.11617,19.180,18.668,0.771
LMC,OGLE-LMC-RRLYR-09693,RRab,0.5177697,6000.45881,19.837,19.201,0.610
LMC,OGLE-LMC-RRLYR-09694,RRab,0.5462282,6000.13426,19.417,18.899,0.738
LMC,OGLE-LMC-RRLYR-09695,RRc,0.3300238,6000.23151,19.107,18.683,0.117
LMC,OGLE-LMC-RRLYR-09696,RRab,0.6214333,6000.60731,19.656,18.928,0.306
LMC,OGLE-LMC-RRLYR-09697,RRab,0.4829481,6000.45275,19.413,18.948,0.878
LMC,OGLE-LMC-RRLYR-09698,RRab,0.5798891,6000.42840,19.691,18.866,0.491
LMC,OGLE-LMC-RRLYR-09699,RRab,0.5971293,6000.37695,19.693,18.768,0.478
LMC,OGLE-LMC-RRLYR-09700,RRab,0.6257163,6000.39399,19.350,18.710,0.390
LMC,OGLE-LMC-RRLYR-09701,RRab,0.6684585,6000.34357,19.380,18.722,0.655
LMC,OGLE-LMC-RRLYR-09702,RRab,0.5029190,6000.43959,19.395,18.877,0.728
LMC,OGLE-LMC-RRLYR-09703,RRab,0.7654420,6000.51271,18.942,18.382,0.391
LMC,OGLE-LMC-RRLYR-09704,RRab,0.5890521,6000.41627,19.054,18.469,0.554
LMC,OGLE-LMC-RRLYR-09705,RRab,0.5039340,6000.09435,19.396,18.823,0.627
LMC,OGLE-LMC-RRLYR-09707,RRab,0.5566774,6000.42149,19.102,18.600,0.491
LMC,OGLE-LMC-RRLYR-09708,RRab,0.5071734,6000.00707,18.859,18.392,0.404
LMC,OGLE-LMC-RRLYR-09709,RRab,0.5188897,6000.48645,19.304,18.782,0.428
LMC,OGLE-LMC-RRLYR-09710,RRc,0.3057462,6000.07615,19.517,19.014,0.263
LMC,OGLE-LMC-RRLYR-09711,RRab,0.5015872,6000.26995,19.479,18.964,0.537
LMC,OGLE-LMC-RRLYR-09712,RRc,0.3493601,6000.31286,19.333,18.435,0.165
LMC,OGLE-LMC-RRLYR-09713,RRab,0.6469272,6000.25661,19.506,18.848,0.577
LMC,OGLE-LMC-RRLYR-09714,RRab,0.6108895,6000.30165,19.294,18.679,0.376
LMC,OGLE-LMC-RRLYR-09715,RRab,0.6234084,6000.32975,18.779,18.084,0.217
LMC,OGLE-LMC-RRLYR-09716,RRc,0.2730875,6000.21823,19.446,19.030,0.176
LMC,OGLE-LMC-RRLYR-09717,RRab,0.4955635,6000.01809,18.670,17.761,0.287
LMC,OGLE-LMC-RRLYR-09718,RRc,0.2624797,6000.01928,19.299,18.959,0.184
LMC,OGLE-LMC-RRLYR-09719,RRc,0.2844217,6000.20599,19.173,18.801,0.289
LMC,OGLE-LMC-RRLYR-09720,RRab,0.5552185,6000.19694,19.521,18.910,0.640
LMC,OGLE-LMC-RRLYR-09721,RRc,0.3073685,6000.03043,19.357,18.925,0.326
LMC,OGLE-LMC-RRLYR-09722,RRab,0.5547942,6000.53856,19.395,18.845,0.679
LMC,OGLE-LMC-RRLYR-09723,RRc,0.3425175,6000.07737,19.335,18.877,0.269
LMC,OGLE-LMC-RRLYR-09724,RRab,0.7262013,6000.37811,19.213,18.609,0.220
LMC,OGLE-LMC-RRLYR-09725,RRab,0.5913279,6000.36621,19.536,18.865,0.544
LMC,OGLE-LMC-RRLYR-09726,RRc,0.3069657,6000.17642,19.212,18.793,0.303
LMC,OGLE-LMC-RRLYR-09727,RRab,0.7441926,6000.69436,19.225,18.572,0.209
LMC,OGLE-LMC-RRLYR-09728,RRc,0.3524730,6000.05676,19.013,18.657,0.224
LMC,OGLE-LMC-RRLYR-09729,RRc,0.2913725,6000.20488,19.425,18.766,0.249
LMC,OGLE-LMC-RRLYR-09731,RRab,0.5469787,6000.07397,19.223,18.670,0.591
LMC,OGLE-LMC-RRLYR-09732,RRab,0.4792882,6000.07070,19.469,18.964,0.773
LMC,OGLE-LMC-RRLYR-09733,RRc,0.2860110,6000.03261,19.218,18.880,0.304
LMC,OGLE-LMC-RRLYR-09734,RRab,0.5365544,6000.40436,19.587,18.998,0.444
LMC,OGLE-LMC-RRLYR-09735,RRab,0.6438000,6000.19760,18.775,18.045,0.081
LMC,OGLE-LMC-RRLYR-09736,RRc,0.3297190,6000.25340,19.117,18.753,0.232
LMC,OGLE-LMC-RRLYR-09737,RRab,0.5783244,6000.12273,19.353,18.759,0.564
LMC,OGLE-LMC-RRLYR-09738,RRab,0.5480964,6000.53084,19.020,18.539,0.370
LMC,OGLE-LMC-RRLYR-09739,RRab,0.5378873,6000.20196,19.457,18.810,0.632
LMC,OGLE-LMC-RRLYR-09740,RRab,0.5874132,6000.09380,19.369,18.878,0.335
LMC,OGLE-LMC-RRLYR-09741,RRab,0.7277166,6000.19496,19.183,18.589,0.187
LMC,OGLE-LMC-RRLYR-09742,RRc,0.3025111,6000.11284,19.322,18.877,0.212
LMC,OGLE-LMC-RRLYR-09743,RRab,0.4907518,6000.36576,19.506,18.984,0.708
LMC,OGLE-LMC-RRLYR-09744,RRab,0.6215121,6000.33549,19.343,18.715,0.311
LMC,OGLE-LMC-RRLYR-09745,RRab,0.6647401,6000.23390,19.104,18.537,0.410
LMC,OGLE-LMC-RRLYR-09746,RRab,0.5453679,6000.27207,19.784,19.064,0.412
LMC,OGLE-LMC-RRLYR-09747,RRab,0.5957236,6000.01488,19.355,18.769,0.430
LMC,OGLE-LMC-RRLYR-09748,RRab,0.4896834,6000.32704,19.879,19.223,0.879
LMC,OGLE-LMC-RRLYR-09749,RRab,0.7498858,6000.23249,19.216,18.546,0.159
LMC,OGLE-LMC-RRLYR-09750,RRab,0.4879954,6000.18317,19.138,18.665,0.530
LMC,OGLE-LMC-RRLYR-09751,RRab,0.4965540,6000.11248,19.442,18.953,0.863
LMC,OGLE-LMC-RRLYR-09752,RRc,0.3500514,6000.02105,19.505,18.984,0.283
LMC,OGLE-LMC-RRLYR-09753,RRab,0.5353146,6000.26055,19.432,18.950,0.463
LMC,OGLE-LMC-RRLYR-09754,RRab,0.5855950,6000.21404,18.611,17.890,0.235
LMC,OGLE-LMC-RRLYR-09755,RRab,0.5732614,6000.36457,19.269,18.716,0.685
LMC,OGLE-LMC-RRLYR-09756,RRc,0.3018476,6000.27177,18.057,17.231,0.074
LMC,OGLE-LMC-RRLYR-09757,RRab,0.4987169,6000.17528,19.385,18.883,0.673
LMC,OGLE-LMC-RRLYR-09758,RRab,0.5887122,6000.24255,18.780,17.058,0.088
LMC,OGLE-LMC-RRLYR-09759,RRab,0.8327549,6000.31998,19.061,18.433,0.279
LMC,OGLE-LMC-RRLYR-09760,RRab,0.5549301,6000.17102,18.454,18.062,0.285
LMC,OGLE-LMC-RRLYR-09761,RRc,0.3445818,6000.09960,18.717,18.589,0.199
LMC,OGLE-LMC-RRLYR-09762,RRab,0.5185169,6000.41207,18.849,18.459,0.458
LMC,OGLE-LMC-RRLYR-09763,RRab,0.5732939,6000.15287,19.508,18.858,0.492
LMC,OGLE-LMC-RRLYR-09764,RRc,0.3474399,6000.17932,17.128,16.446,0.028
LMC,OGLE-LMC-RRLYR-09765,RRc,0.2872786,6000.12533,19.018,18.664,0.159
LMC,OGLE-LMC-RRLYR-09766,RRab,0.4803679,6000.08079,19.284,18.865,0.670
LMC,OGLE-LMC-RRLYR-09767,RRc,0.3148208,6000.06768,19.444,19.013,0.273
LMC,OGLE-LMC-RRLYR-09768,RRab,0.5669136,6000.38862,19.239,18.699,0.646
LMC,OGLE-LMC-RRLYR-09770,RRab,0.4889727,6000.44371,19.628,18.992,0.779
LMC,OGLE-LMC-RRLYR-09771,RRc,0.2950463,6000.00711,19.321,18.839,0.307
LMC,OGLE-LMC-RRLYR-09772,RRc,0.3283407,6000.18214,17.357,15.939,0.015
LMC,OGLE-LMC-RRLYR-09773,RRab,0.6081118,6000.45664,19.338,18.740,0.451
LMC,OGLE-LMC-RRLYR-09774,RRc,0.3477979,6000.12095,19.205,18.876,0.136
LMC,OGLE-LMC-RRLYR-09775,RRab,0.5878825,6000.41721,19.324,18.740,0.373
LMC,OGLE-LMC-RRLYR-09776,RRab,0.5207574,6000.35442,19.347,18.852,0.802
LMC,OGLE-LMC-RRLYR-09777,RRc,0.3315857,6000.25315,19.385,18.866,0.221
LMC,OGLE-LMC-RRLYR-09778,RRab,0.6162802,6000.20869,19.292,18.746,0.361
LMC,OGLE-LMC-RRLYR-09779,RRab,0.6263581,6000.32031,17.625,16.966,0.064
LMC,OGLE-LMC-RRLYR-09780,RRab,0.4771784,6000.00450,19.114,18.551,0.615
LMC,OGLE-LMC-RRLYR-09781,RRc,0.2738136,6000.02218,19.293,18.891,0.299
LMC,OGLE-LMC-RRLYR-09782,RRc,0.3480055,6000.04143,19.526,18.757,0.236
LMC,OGLE-LMC-RRLYR-09783,RRab,0.5937861,6000.35847,19.417,18.796,0.516
LMC,OGLE-LMC-RRLYR-09784,RRc,0.3417715,6000.21614,19.140,19.389,0.399
LMC,OGLE-LMC-RRLYR-09785,RRab,0.5599271,6000.39779,19.662,19.003,0.656
LMC,OGLE-LMC-RRLYR-09786,RRc,0.2731419,6000.24655,19.351,18.948,0.275
LMC,OGLE-LMC-RRLYR-09787,RRc,0.3490347,6000.13244,19.485,18.536,0.126
LMC,OGLE-LMC-RRLYR-09788,RRc,0.3365150,6000.04227,19.688,19.050,0.233
LMC,OGLE-LMC-RRLYR-09789,RRab,0.6322829,6000.32097,19.400,18.778,0.342
LMC,OGLE-LMC-RRLYR-09790,RRab,0.6361027,6000.17964,19.294,18.674,0.584
LMC,OGLE-LMC-RRLYR-09791,RRc,0.2905319,6000.12152,19.118,18.619,0.246
LMC,OGLE-LMC-RRLYR-09792,RRab,0.5431367,6000.31084,19.986,19.206,0.666
LMC,OGLE-LMC-RRLYR-09793,RRab,0.6266283,6000.20721,19.093,19.050,0.500
LMC,OGLE-LMC-RRLYR-09794,RRc,0.2773686,6000.15988,19.306,19.007,0.335
LMC,OGLE-LMC-RRLYR-09795,RRab,0.5823798,6000.12694,19.578,18.944,0.536
LMC,OGLE-LMC-RRLYR-09796,RRab,0.7665863,6000.57949,19.281,18.589,0.128
LMC,OGLE-LMC-RRLYR-09797,RRc,0.3631943,6000.12063,19.341,18.762,0.278
LMC,OGLE-LMC-RRLYR-09798,RRab,0.6223448,6000.50216,19.713,18.989,0.409
LMC,OGLE-LMC-RRLYR-09799,RRc,0.3394704,6000.12432,19.445,18.950,0.265
LMC,OGLE-LMC-RRLYR-09800,RRab,0.4668852,6000.05663,18.997,18.781,0.838
LMC,OGLE-LMC-RRLYR-09801,RRc,0.3392744,6000.33017,19.270,18.880,0.244
LMC,OGLE-LMC-RRLYR-09802,RRab,0.6700269,6000.62211,19.141,18.551,0.424
LMC,OGLE-LMC-RRLYR-09803,RRc,0.3431461,6000.10602,19.327,18.826,0.226
LMC,OGLE-LMC-RRLYR-09804,RRc,0.3562607,6000.04075,19.244,18.723,0.243
LMC,OGLE-LMC-RRLYR-09806,RRc,0.4095930,6000.11282,18.976,18.495,0.225
LMC,OGLE-LMC-RRLYR-09807,RRab,0.5389942,6000.24209,20.344,19.538,0.793
LMC,OGLE-LMC-RRLYR-09808,RRab,0.5544484,6000.39161,18.895,18.394,0.488
LMC,OGLE-LMC-RRLYR-09809,RRab,0.7117810,6000.59199,19.018,18.435,0.475
LMC,OGLE-LMC-RRLYR-09810,RRab,0.6233330,6000.48829,19.357,18.728,0.380
LMC,OGLE-LMC-RRLYR-09811,RRab,0.5455749,6000.12529,19.455,18.840,0.628
LMC,OGLE-LMC-RRLYR-09812,RRab,0.5844612,6000.37879,18.974,18.482,0.433
LMC,OGLE-LMC-RRLYR-09813,RRab,0.5299069,6000.23805,19.412,18.677,0.539
LMC,OGLE-LMC-RRLYR-09814,RRab,0.5643297,6000.29302,19.431,18.790,0.629
LMC,OGLE-LMC-RRLYR-09815,RRc,0.3481861,6000.21025,19.316,18.865,0.243
LMC,OGLE-LMC-RRLYR-09816,RRab,0.5606124,6000.43391,19.866,19.160,0.665
LMC,OGLE-LMC-RRLYR-09817,RRab,0.5831476,6000.48349,19.281,18.738,0.535
LMC,OGLE-LMC-RRLYR-09818,RRc,0.4346937,6000.27180,19.103,18.583,0.234
LMC,OGLE-LMC-RRLYR-09819,RRab,0.5510808,6000.33311,19.480,18.910,0.596
LMC,OGLE-LMC-RRLYR-09820,RRab,0.5910852,6000.03755,18.915,18.452,0.490
LMC,OGLE-LMC-RRLYR-09821,RRc,0.3461109,6000.17756,19.303,18.919,0.231
LMC,OGLE-LMC-RRLYR-09822,RRab,0.5691447,6000.14493,19.309,18.722,0.682
LMC,OGLE-LMC-RRLYR-09823,RRab,0.5810314,6000.47775,19.198,18.649,0.456
LMC,OGLE-LMC-RRLYR-09824,RRab,0.4920218,6000.13498,19.184,18.773,0.497
LMC,OGLE-LMC-RRLYR-09825,RRc,0.3190518,6000.03075,19.387,18.922,0.321
LMC,OGLE-LMC-RRLYR-09826,RRab,0.6760796,6000.27252,19.357,18.741,0.413
LMC,OGLE-LMC-RRLYR-09827,RRab,0.5737965,6000.48577,18.768,17.885,0.200
