# Single-mode RR Lyrae stars in the Large and Small Magellanic Clouds.
# Source: Soszynski et al. 2016 (Acta Astronomica 66, 131), the OGLE-IV Collection of
#   Variable Stars, via VizieR J/AcA/66/131 tables lmcrrabc/smcrrabc. Downloaded 2026-08-17.
#
# RRab (fundamental mode) and RRc (first overtone) only. Double-mode RRd and
#   anomalous aRRd stars are left out — they pulsate in two periods at once and
#   would smear both the Bailey diagram and the period–luminosity ridge.
# Every star has an intensity-mean V and I magnitude and an I-band amplitude.
#   Mean magnitudes are apparent: no extinction correction has been applied.
#   The Wesenheit index I - 1.55 (V - I) is derived in the scene, not stored.
#
# period_days is the catalogue period; epoch_max_hjd is its time of maximum
#   light (HJD - 2450000). i_amplitude_mag is peak-to-peak I-band amplitude.
# One row per star.
cloud,star,type,period_days,epoch_max_hjd,mean_v_mag,mean_i_mag,i_amplitude_mag
LMC,OGLE-LMC-RRLYR-00066,RRab,0.6314186,6000.55579,19.384,18.735,0.298
LMC,OGLE-LMC-RRLYR-00068,RRab,0.5513866,6000.42771,19.328,18.872,0.675
LMC,OGLE-LMC-RRLYR-00069,RRab,0.5047516,6000.02216,19.431,18.867,0.676
LMC,OGLE-LMC-RRLYR-00070,RRab,0.5354892,6000.40570,19.495,18.978,0.513
LMC,OGLE-LMC-RRLYR-00071,RRab,0.5553131,6000.41983,19.364,18.853,0.602
LMC,OGLE-LMC-RRLYR-00072,RRab,0.6261742,6000.58137,19.549,18.879,0.394
LMC,OGLE-LMC-RRLYR-00073,RRab,0.5381377,6000.35942,19.463,18.817,0.451
LMC,OGLE-LMC-RRLYR-00074,RRab,0.7916951,6000.50321,19.297,18.610,0.157
LMC,OGLE-LMC-RRLYR-00075,RRab,0.6015445,6000.31519,19.635,18.925,0.507
LMC,OGLE-LMC-RRLYR-00076,RRab,0.5245832,6000.44944,19.481,18.925,0.509
LMC,OGLE-LMC-RRLYR-00078,RRc,0.3066455,6000.11760,19.645,19.145,0.229
LMC,OGLE-LMC-RRLYR-00079,RRab,0.5647915,6000.29195,19.536,18.947,0.485
LMC,OGLE-LMC-RRLYR-00080,RRab,0.5174634,6000.34020,19.414,18.857,0.530
LMC,OGLE-LMC-RRLYR-00081,RRab,0.6079591,6000.35846,19.375,18.795,0.762
LMC,OGLE-LMC-RRLYR-00082,RRab,0.5654446,6000.00994,19.267,18.727,0.656
LMC,OGLE-LMC-RRLYR-00083,RRab,0.5076190,6000.26894,19.410,18.850,0.796
LMC,OGLE-LMC-RRLYR-00084,RRab,0.5976970,6000.13700,19.241,18.687,0.489
LMC,OGLE-LMC-RRLYR-00085,RRc,0.3256020,6000.31652,19.369,18.928,0.371
LMC,OGLE-LMC-RRLYR-00086,RRab,0.5678120,6000.42667,19.296,18.721,0.469
LMC,OGLE-LMC-RRLYR-00087,RRab,0.5745107,6000.19265,19.491,18.965,0.562
LMC,OGLE-LMC-RRLYR-00089,RRc,0.3426842,6000.02625,20.264,19.922,0.312
LMC,OGLE-LMC-RRLYR-00091,RRab,0.5317659,6000.07628,19.537,19.005,0.707
LMC,OGLE-LMC-RRLYR-00092,RRc,0.3552201,6000.06886,19.349,18.870,0.261
LMC,OGLE-LMC-RRLYR-00093,RRab,0.6502791,6000.43599,19.284,18.651,0.396
LMC,OGLE-LMC-RRLYR-00094,RRab,0.5252005,6000.40008,19.215,18.726,0.404
LMC,OGLE-LMC-RRLYR-00095,RRc,0.2889373,6000.18162,19.424,18.994,0.322
LMC,OGLE-LMC-RRLYR-00096,RRc,0.3569471,6000.28519,19.428,18.923,0.300
LMC,OGLE-LMC-RRLYR-00098,RRab,0.5399812,6000.42534,19.419,18.883,0.679
LMC,OGLE-LMC-RRLYR-00099,RRab,0.5570761,6000.15293,19.415,18.839,0.660
LMC,OGLE-LMC-RRLYR-00100,RRc,0.3049387,6000.19231,19.638,19.156,0.362
LMC,OGLE-LMC-RRLYR-00101,RRab,0.5689476,6000.17572,19.303,18.684,0.563
LMC,OGLE-LMC-RRLYR-00102,RRab,0.5253487,6000.15328,19.419,18.814,0.354
LMC,OGLE-LMC-RRLYR-00103,RRab,0.6181759,6000.23097,19.569,18.943,0.422
LMC,OGLE-LMC-RRLYR-00104,RRab,0.7625623,6000.42936,19.288,18.602,0.192
LMC,OGLE-LMC-RRLYR-00105,RRab,0.6420187,6000.34657,19.290,18.640,0.539
LMC,OGLE-LMC-RRLYR-00106,RRc,0.2608151,6000.14387,19.526,19.156,0.114
LMC,OGLE-LMC-RRLYR-00107,RRab,0.5105290,6000.18987,19.466,18.921,0.789
LMC,OGLE-LMC-RRLYR-00108,RRab,0.6141133,6000.44033,19.508,18.842,0.372
LMC,OGLE-LMC-RRLYR-00109,RRab,0.5233079,6000.50795,19.386,18.767,0.422
LMC,OGLE-LMC-RRLYR-00111,RRab,0.4844885,6000.23424,19.316,18.831,0.674
LMC,OGLE-LMC-RRLYR-00112,RRab,0.5836028,6000.41896,19.556,18.970,0.574
LMC,OGLE-LMC-RRLYR-00113,RRab,0.4898061,6000.45340,19.415,18.896,0.896
LMC,OGLE-LMC-RRLYR-00114,RRab,0.6177467,6000.59903,19.499,18.835,0.217
LMC,OGLE-LMC-RRLYR-00116,RRab,0.6449607,6000.57973,19.454,18.813,0.244
LMC,OGLE-LMC-RRLYR-00118,RRab,0.5758786,6000.53011,19.299,18.710,0.590
LMC,OGLE-LMC-RRLYR-00119,RRc,0.2540373,6000.01201,19.485,19.085,0.095
LMC,OGLE-LMC-RRLYR-00120,RRab,0.5974721,6000.35360,19.413,18.861,0.489
LMC,OGLE-LMC-RRLYR-00121,RRab,0.5652354,6000.37745,19.129,18.646,0.753
LMC,OGLE-LMC-RRLYR-00122,RRab,0.6073888,6000.41626,19.582,18.912,0.501
LMC,OGLE-LMC-RRLYR-00123,RRab,0.5005945,6000.44762,19.262,18.793,0.795
LMC,OGLE-LMC-RRLYR-00124,RRab,0.7034882,6000.59584,19.246,18.615,0.485
LMC,OGLE-LMC-RRLYR-00125,RRab,0.4345586,6000.28214,19.516,19.049,0.866
LMC,OGLE-LMC-RRLYR-00127,RRc,0.4002880,6000.30743,19.290,18.784,0.285
LMC,OGLE-LMC-RRLYR-00128,RRc,0.3569655,6000.19267,19.237,18.798,0.263
LMC,OGLE-LMC-RRLYR-00129,RRab,0.5779718,6000.12541,19.573,18.951,0.122
LMC,OGLE-LMC-RRLYR-00130,RRab,0.5699947,6000.34030,19.305,18.762,0.627
LMC,OGLE-LMC-RRLYR-00131,RRab,0.5521035,6000.54330,19.562,18.978,0.474
LMC,OGLE-LMC-RRLYR-00132,RRab,0.6287973,6000.25471,19.496,18.844,0.377
