# Downsampled Kepler long-cadence PDCSAP light curve for KIC 8462852 (Tabby's Star).
# Source: MAST / Kepler via lightkurve; BKJD window ~1100–1600 (includes D1500 dip complex).
# Columns: bkjd_day = BJD-2454833 days; relative_flux = median-normalized flux.
# Not required at runtime beyond this CSV — regenerate with lightkurve if needed.
bkjd_day,relative_flux
1100.0015117908115,1.0003806352615356
1100.532764621501,1.0000545978546143
1101.0844503883927,1.0004816055297852
1101.6361363027754,1.000022292137146
1102.187822266642,0.9999708533287048
1102.7190755640404,1.0001230239868164
1103.2911946513632,0.9997692704200745
1103.8224483465528,0.9999298453330994
1104.4150005945194,0.9997876286506653
1104.9666874427348,0.9995145201683044
1105.497941504982,0.9998831152915955
1106.0496285725822,0.9996569752693176
1106.5808830460082,1.0000128746032715
1107.1325705405034,0.9999458193778992
1107.6842581042656,0.999961256980896
1108.235945939392,0.9998713731765747
1108.7672009626476,0.9997611045837402
1109.3188890393358,0.9997820258140564
1109.8705773927359,0.9997308850288391
1110.4631316341402,0.9998584985733032
1111.0148203599601,1.0001626014709473
1111.5460761495851,0.9996922016143799
1112.0977652346555,1.0002363920211792
1112.6290215736371,0.999682605266571
1113.1807110249574,1.0000815391540527
1113.7528335110837,0.9999706149101257
1114.304523249135,1.0000032186508179
1114.8562132797306,1.0003740787506104
1115.3874703368856,1.0001224279403687
1115.9391607497892,1.0000970363616943
1116.4908513599075,1.0002423524856567
1119.1880080652409,1.000030517578125
1119.7396997675678,1.0001300573349
1120.2913917773476,1.000067949295044
1120.8226509545348,0.9999383687973022
1122.3346971070787,0.9999326467514038
1122.8863901113946,0.9997512698173523
1123.4176501523834,0.99965500831604
1123.989776667171,0.9999508857727051
1124.5210371262074,0.9998536109924316
1125.0727308909482,0.999862015247345
1125.6244249759475,0.9999227523803711
1126.9117119680377,0.9991386532783508
1127.4429735571175,0.9995108842849731
1127.9946685011455,1.0001097917556763
1128.546363771362,1.0002477169036865
1129.0980591688276,1.000076413154602
1129.6497548943516,0.9998382925987244
1130.201450749213,0.9998445510864258
1130.7531469342284,0.999785304069519
1131.2844100530056,1.0001577138900757
1131.8361066926227,0.9999988675117493
1132.3878035651796,1.0000331401824951
1132.939500571505,1.0000696182250977
1133.4911979125245,0.9998500943183899
1134.0224620485387,1.0000163316726685
1134.5945932016693,1.0000485181808472
1135.1667244097407,1.0003153085708618
1135.7184227061807,1.00017249584198
1136.2496878651364,1.0003039836883545
1136.8013866304973,1.0003986358642578
1137.3326521424242,1.0001529455184937
1137.90478478148,0.999978244304657
1138.4564841684914,1.000306248664856
1138.9877504769393,1.0002467632293701
1139.539450438926,1.0001553297042847
1140.0707173059272,1.0002233982086182
1140.6224179452256,0.9996849894523621
1141.1741186282961,0.999770998954773
1141.7258195557224,0.999809205532074
1142.2570873541554,0.9996466040611267
1142.8087886623762,0.9988105297088623
1143.360490316234,0.9990365505218506
1143.9121921160768,0.9988917708396912
1144.4638941621379,0.9990659356117249
1144.9951632357916,0.9993889927864075
1145.5468657661404,0.9994751811027527
1146.0781351067344,0.9999500513076782
1146.6298381225351,0.9999487996101379
1147.1815414858356,1.0000197887420654
1147.7332449969763,1.0001404285430908
1148.2849488559732,1.000170350074768
1148.8162194806282,1.0003564357757568
1149.3679237268225,1.0002366304397583
1149.9196283213314,1.0003067255020142
1150.4713330641534,1.0002204179763794
1151.0026046364292,0.9998872876167297
1151.5543099669158,0.9997619986534119
1152.0855819088101,1.0000150203704834
1152.6372876268433,1.0003176927566528
1153.2094272485992,1.000410556793213
1153.7406999078448,1.00033438205719
1155.2119178262292,1.0003793239593506
1155.7431914520712,1.000321388244629
1156.2948989142387,0.999980628490448
1156.8261729079532,1.0002793073654175
1157.3983144803642,1.00002121925354
1157.929588949759,1.0000343322753906
1158.481297290622,0.9998694062232971
1159.0330059777116,0.9997103810310364
1159.5642811496655,0.9998590350151062
1160.1364239894974,0.9995465278625488
1165.183552185168,0.9999098181724548
1165.7352638302473,0.9998205900192261
1166.3278430571809,1.0000728368759155
1166.8795551993535,0.9997282028198242
1167.4108337914804,0.9996869564056396
1167.9625463015254,0.9999836087226868
1168.5142591489493,0.9997990131378174
1169.0659722330456,0.9998300075531006
1169.6176854529986,0.9999971389770508
1170.1489651758602,1.000129222869873
1170.700678856585,1.0001187324523926
1171.2319589217077,0.9999741315841675
1171.7836731600619,1.0004345178604126
1172.3558214967852,0.9998684525489807
1172.907536106737,0.999964714050293
1173.4592510468428,0.999950647354126
1173.9905322244304,0.9999822974205017
1174.5422475136656,1.0002914667129517
1175.0939631303772,1.0002665519714355
1175.6456788735086,0.9999300837516785
1176.1769610172341,0.9997009634971619
1176.7286773021624,1.0000842809677124
1177.2599597692824,1.0000933408737183
1177.8321103415365,1.0000300407409668
1178.4042612519697,0.9999517202377319
1178.9559783329532,1.0001658201217651
1179.5076957331476,0.9996603727340698
1180.0389793690774,1.0000016689300537
1180.5906970965152,1.0002424716949463
1181.1424151397878,0.9997726082801819
1181.6941332978458,1.0001814365386963
1182.9405544896072,0.9997310042381287
1183.4922734394058,0.9999600648880005
