# TESS Sector 70 light curve for TRAPPIST-1 (TIC 278892590, T = 13.85).
# Source: MAST / TESS SPOC 2-minute PDCSAP via lightkurve search_lightcurve(
#   'TRAPPIST-1', mission='TESS', exptime=120).
# relative_flux = PDCSAP / median. detrended_flux = lightkurve flatten(
#   window_length=241 cadences ~ 8 h, polyorder=2, niters=3, sigma=3) / median;
#   the 8 h window is far longer than the 36 min transit, so transits survive.
# Flares and the mid-sector downlink gap are left in — both are real.
# Point-to-point scatter is 1.37%, so a single 0.95% transit is
#   invisible; folding on the period is what reveals it.
# TRAPPIST-1 b ephemeris measured from THIS light curve by box-least-squares
#   (astropy BoxLeastSquares, no catalog input): period 1.510919 d,
#   mid-transit 3209.809538 BTJD, duration 30.0 min, 13 transits observed.
#   Published period for comparison: 1.510826 d.
# Columns: btjd_day = BJD_TDB - 2457000; fluxes are dimensionless.
btjd_day,relative_flux,detrended_flux
3209.353283,1.004436,1.004211
3209.354672,1.007838,1.007664
3209.356061,1.002236,1.002018
3209.357450,1.007403,1.007164
3209.358839,1.002400,1.002198
3209.360228,0.991711,0.991379
3209.361616,0.989294,0.988936
3209.363005,0.999435,0.998946
3209.364394,0.987553,0.986913
3209.365783,1.006342,1.005729
3209.367172,0.969705,0.969110
3209.368561,0.991320,0.990847
3209.369950,0.974483,0.974113
3209.371338,1.020310,1.019936
3209.372727,0.989515,0.989149
3209.374116,0.998669,0.998415
3209.375505,1.008663,1.008367
3209.376894,1.013524,1.013294
3209.378283,1.019628,1.019435
3209.379672,1.018670,1.018280
3209.381060,0.999325,0.998984
3209.382449,0.990880,0.990533
3209.383838,0.997863,0.997558
3209.385227,1.004038,1.003770
3209.386616,0.995180,0.994909
3209.388005,0.984475,0.984342
3209.389394,0.992853,0.992898
3209.390782,1.012554,1.012520
3209.392171,1.012942,1.012992
3209.393560,1.005403,1.005430
3209.394949,1.022365,1.022404
3209.396338,0.999868,0.999978
3209.397727,1.018333,1.018516
3209.399116,1.014673,1.014971
3209.400504,0.991841,0.991907
3209.401893,0.999131,0.999132
3209.403282,0.976875,0.976797
3209.404671,1.011551,1.011570
3209.406060,1.001739,1.001861
3209.407449,0.987321,0.987343
3209.408838,0.984546,0.984551
3209.410227,1.003613,1.003534
3209.411615,0.986454,0.986423
3209.413004,0.995697,0.995564
3209.414393,0.994586,0.994505
3209.415782,0.989659,0.989437
3209.417171,0.994974,0.994731
3209.418560,0.989393,0.988925
3209.419949,0.980214,0.979769
3209.421337,1.002740,1.002336
3209.422726,0.987076,0.986546
3209.424115,1.007629,1.007078
3209.425504,1.010494,1.010083
3209.426893,1.001231,1.000671
3209.428282,1.021028,1.020374
3209.429671,1.014725,1.013907
3209.431059,1.004628,1.003952
3209.432448,1.006276,1.005618
3209.433837,0.988624,0.987635
3209.435226,1.009451,1.008394
3209.436615,1.004228,1.003312
3209.438004,0.993749,0.992949
3209.439393,0.985851,0.985166
3209.440781,1.015719,1.014878
3209.442170,0.998825,0.998100
3209.443559,0.972139,0.971404
3209.444948,0.983489,0.982702
3209.446337,1.000430,0.999413
3209.447726,1.014070,1.012924
3209.449115,0.990031,0.988989
3209.450503,0.981811,0.980576
3209.451892,1.016688,1.015298
3209.453281,0.994126,0.992889
3209.454670,1.003625,1.002352
3209.456059,1.000208,0.998974
3209.457448,0.994317,0.993167
3209.458837,0.988887,0.987689
3209.460226,0.980931,0.979620
3209.461614,1.009196,1.007855
3209.463003,1.011913,1.010455
3209.464392,0.993685,0.992173
3209.465781,0.991363,0.990042
3209.467170,1.012252,1.010993
3209.468559,1.009909,1.008742
3209.469948,0.994147,0.992986
3209.471336,1.002619,1.001571
3209.472725,1.005292,1.004214
3209.474114,0.991542,0.990418
3209.475503,0.981683,0.980606
3209.476892,1.019881,1.018782
3209.478281,1.017930,1.016877
3209.479670,1.000641,0.999676
3209.481058,1.005232,1.004134
3209.482447,1.010038,1.009086
3209.483836,1.004538,1.003668
3209.485225,0.989043,0.988303
3209.486614,1.015734,1.014843
3209.488003,0.979376,0.978439
3209.489392,1.000337,0.999362
3209.490780,1.028620,1.027507
3209.492169,1.003954,1.002711
3209.493558,0.994527,0.993165
3209.494947,1.003017,1.001461
3209.496336,1.015093,1.013393
3209.497725,0.999056,0.997460
3209.499114,1.001062,0.999335
3209.500502,0.996377,0.994514
3209.501891,1.013317,1.011497
3209.503280,1.003697,1.001802
3209.504669,1.023827,1.021792
3209.506058,1.018057,1.015911
3209.507447,1.018806,1.016605
3209.508836,1.015943,1.013539
3209.510225,1.010225,1.007786
3209.511613,1.002667,1.000371
3209.513002,0.997939,0.995757
3209.514391,1.026194,1.023882
3209.515780,0.970835,0.968676
3209.517169,0.977387,0.975149
3209.518558,1.017466,1.015370
3209.519947,1.019039,1.017068
3209.521335,0.996708,0.994850
3209.522724,1.007773,1.006045
3209.524113,0.991607,0.990009
3209.525502,0.994448,0.992793
3209.526891,0.979403,0.977790
3209.528280,1.005988,1.004404
3209.529669,0.983867,0.982474
3209.531057,0.972871,0.971556
3209.532446,1.002919,1.001562
3209.533835,0.998542,0.997047
3209.535224,1.000914,0.999758
3209.536613,1.002692,1.001629
3209.538002,1.019579,1.018733
3209.539391,1.000969,1.000051
3209.540779,0.976810,0.975921
3209.542168,0.986797,0.986052
3209.543557,1.000781,1.000042
3209.544946,1.005484,1.004750
3209.546335,0.983453,0.982553
3209.547724,1.006467,1.005522
3209.549113,1.008030,1.007064
3209.550501,1.019022,1.018083
3209.551890,1.002358,1.001471
3209.553279,0.996669,0.995733
3209.554668,1.016935,1.015977
3209.556057,1.016192,1.015413
3209.557446,1.011419,1.010714
3209.558835,0.999343,0.998625
3209.560223,0.985564,0.984795
3209.561612,1.016045,1.015326
3209.563001,1.016985,1.016210
3209.564390,0.997440,0.996741
3209.565779,1.028767,1.027897
3209.567168,0.997256,0.996314
3209.568557,0.994908,0.994074
3209.569946,0.997935,0.997176
3209.571334,1.011910,1.011164
3209.572723,0.997737,0.996888
3209.574112,0.997545,0.996620
3209.575501,1.006836,1.005932
3209.576890,1.003252,1.002644
3209.578279,1.004276,1.003752
3209.579668,1.011831,1.011427
3209.581056,0.998833,0.998496
3209.582445,0.993504,0.993272
3209.583834,0.993303,0.993249
3209.585223,0.982124,0.982072
3209.586612,1.014838,1.014869
3209.588001,1.006336,1.006452
3209.589390,0.972947,0.973102
3209.590778,0.994196,0.994411
3209.592167,1.023068,1.023462
3209.593556,0.991655,0.992100
3209.594945,0.996323,0.996684
3209.596334,0.976763,0.977029
3209.597723,1.010322,1.010433
3209.599112,1.011664,1.011737
3209.600500,0.988746,0.988854
3209.601889,0.991093,0.991309
3209.603278,1.017975,1.018117
3209.604667,0.995755,0.995940
3209.606056,1.006623,1.006965
3209.607445,0.993387,0.993831
3209.608834,1.004454,1.004909
3209.610222,0.995564,0.995908
3209.611611,0.968036,0.968462
3209.613000,0.986357,0.986957
3209.614389,0.989243,0.989907
3209.615778,1.010990,1.011562
3209.617167,0.986364,0.987078
3209.618556,0.970062,0.971034
3209.619944,1.000016,1.001056
3209.621333,1.009365,1.010620
3209.622722,1.002865,1.004174
3209.624111,1.014478,1.015715
3209.625500,1.003505,1.004906
3209.626889,0.985933,0.987452
3209.628278,0.999571,1.001476
3209.629666,1.005236,1.007210
3209.631055,0.984273,0.986127
3209.632444,1.029026,1.031043
3209.633833,0.995187,0.997231
3209.635222,1.007926,1.009879
3209.636611,0.988293,0.990137
3209.638000,1.010284,1.012237
3209.639389,1.005342,1.007229
3209.640777,1.000404,1.002233
3209.642166,0.994564,0.996283
3209.643555,0.996309,0.998075
3209.644944,0.992479,0.994218
3209.646333,1.005963,1.007670
3209.647722,0.999534,1.001266
3209.649111,1.019408,1.021185
3209.650499,1.004850,1.006546
3209.651888,1.008166,1.009843
3209.653277,0.978563,0.980299
3209.654666,1.006190,1.008092
3209.656055,0.979223,0.981245
3209.657444,0.995315,0.997343
3209.658833,0.972097,0.974003
3209.660221,1.000924,1.003016
3209.661610,0.984304,0.986577
3209.662999,0.992707,0.995189
3209.664388,1.004123,1.006506
3209.665777,0.992661,0.995070
3209.667166,0.979990,0.982488
3209.668555,0.999254,1.001910
3209.669943,0.986187,0.988870
3209.671332,0.959667,0.962475
3209.672721,0.990143,0.993083
3209.674110,1.015522,1.018418
3209.675499,0.961660,0.964378
3209.676888,0.979785,0.982491
3209.678277,0.994966,0.997755
3209.679665,1.003469,1.006397
3209.681054,0.990754,0.993718
3209.682443,0.993658,0.996613
3209.683832,0.989286,0.992595
