# OGLE-IV I-band photometry for three LMC RR Lyrae stars spanning Bailey type.
# Source: Soszynski et al. 2016 (Acta Astronomica 66, 131), OGLE-IV Collection of
#   Variable Stars, https://www.astrouw.edu.pl/ogle/ogle4/OCVS/lmc/rrlyr/phot/I/
# Downloaded 2026-08-17.
#
# OGLE-LMC-RRLYR-03686 (RRc, 0.284 d), OGLE-LMC-RRLYR-16323 (RRab, 0.489 d)
#   and OGLE-LMC-RRLYR-12984 (RRab, 0.650 d). Same galaxy, three clocks:
#   an overtone sine, a high-amplitude sawtooth, and a longer, smaller bump.
#
# time_hjd is HJD - 2450000 as stored by OGLE; i_mag is the I-band magnitude
#   and i_mag_error is the catalogue uncertainty. Folding uses the period only.
star,time_hjd,i_mag,i_mag_error
OGLE-LMC-RRLYR-03686,5961.63754,18.596,0.021
OGLE-LMC-RRLYR-03686,5962.63844,18.437,0.029
OGLE-LMC-RRLYR-03686,5963.60515,18.603,0.039
OGLE-LMC-RRLYR-03686,5964.61713,18.393,0.028
OGLE-LMC-RRLYR-03686,5965.61606,18.667,0.029
OGLE-LMC-RRLYR-03686,5967.63818,18.675,0.038
OGLE-LMC-RRLYR-03686,5968.63830,18.418,0.023
OGLE-LMC-RRLYR-03686,5969.61431,18.653,0.021
OGLE-LMC-RRLYR-03686,5971.68469,18.603,0.021
OGLE-LMC-RRLYR-03686,5972.67107,18.558,0.020
OGLE-LMC-RRLYR-03686,5973.65411,18.673,0.019
OGLE-LMC-RRLYR-03686,5974.60917,18.510,0.025
OGLE-LMC-RRLYR-03686,5976.64332,18.632,0.027
OGLE-LMC-RRLYR-03686,5977.67687,18.421,0.021
OGLE-LMC-RRLYR-03686,5978.65329,18.585,0.020
OGLE-LMC-RRLYR-03686,5979.60349,18.601,0.025
OGLE-LMC-RRLYR-03686,5980.61913,18.485,0.025
OGLE-LMC-RRLYR-03686,5981.64261,18.504,0.024
OGLE-LMC-RRLYR-03686,5982.64849,18.615,0.029
OGLE-LMC-RRLYR-03686,5983.69116,18.478,0.018
OGLE-LMC-RRLYR-03686,5984.63018,18.614,0.021
OGLE-LMC-RRLYR-03686,5985.66252,18.444,0.024
OGLE-LMC-RRLYR-03686,5986.59228,18.592,0.023
OGLE-LMC-RRLYR-03686,5987.66774,18.466,0.024
OGLE-LMC-RRLYR-03686,5988.63423,18.561,0.026
OGLE-LMC-RRLYR-03686,5989.59817,18.493,0.021
OGLE-LMC-RRLYR-03686,5990.59167,18.620,0.035
OGLE-LMC-RRLYR-03686,5991.66669,18.479,0.034
OGLE-LMC-RRLYR-03686,5992.62693,18.646,0.030
OGLE-LMC-RRLYR-03686,5993.58383,18.461,0.026
OGLE-LMC-RRLYR-03686,5994.58248,18.630,0.032
OGLE-LMC-RRLYR-03686,5995.63020,18.501,0.034
OGLE-LMC-RRLYR-03686,5996.60027,18.708,0.040
OGLE-LMC-RRLYR-03686,5997.60244,18.448,0.030
OGLE-LMC-RRLYR-03686,5998.60079,18.673,0.027
OGLE-LMC-RRLYR-03686,5998.66122,18.614,0.030
OGLE-LMC-RRLYR-03686,5999.63949,18.543,0.023
OGLE-LMC-RRLYR-03686,6000.61688,18.619,0.025
OGLE-LMC-RRLYR-03686,6002.58060,18.627,0.026
OGLE-LMC-RRLYR-03686,6003.54672,18.491,0.029
OGLE-LMC-RRLYR-03686,6004.60713,18.612,0.028
OGLE-LMC-RRLYR-03686,6005.57477,18.472,0.025
OGLE-LMC-RRLYR-03686,6006.57412,18.633,0.024
OGLE-LMC-RRLYR-03686,6007.57244,18.472,0.019
OGLE-LMC-RRLYR-03686,6009.54807,18.553,0.031
OGLE-LMC-RRLYR-03686,6010.60011,18.568,0.034
OGLE-LMC-RRLYR-03686,6011.56239,18.510,0.025
OGLE-LMC-RRLYR-03686,6012.56146,18.560,0.031
OGLE-LMC-RRLYR-03686,6013.54320,18.495,0.023
OGLE-LMC-RRLYR-03686,6014.56215,18.606,0.027
OGLE-LMC-RRLYR-03686,6015.55752,18.613,0.025
OGLE-LMC-RRLYR-03686,6016.59815,18.461,0.020
OGLE-LMC-RRLYR-03686,6017.56132,18.553,0.026
OGLE-LMC-RRLYR-03686,6019.56331,18.592,0.030
OGLE-LMC-RRLYR-03686,6020.58692,18.460,0.025
OGLE-LMC-RRLYR-03686,6021.57500,18.595,0.034
OGLE-LMC-RRLYR-03686,6022.58650,18.426,0.036
OGLE-LMC-RRLYR-03686,6023.56054,18.632,0.029
OGLE-LMC-RRLYR-03686,6024.58339,18.480,0.032
OGLE-LMC-RRLYR-03686,6026.52968,18.477,0.031
OGLE-LMC-RRLYR-03686,6028.56642,18.561,0.034
OGLE-LMC-RRLYR-03686,6031.51178,18.676,0.042
OGLE-LMC-RRLYR-03686,6032.50432,18.444,0.036
OGLE-LMC-RRLYR-03686,6033.49187,18.721,0.040
OGLE-LMC-RRLYR-03686,6034.49748,18.496,0.028
OGLE-LMC-RRLYR-03686,6035.52287,18.670,0.030
OGLE-LMC-RRLYR-03686,6036.49969,18.406,0.025
OGLE-LMC-RRLYR-03686,6039.49778,18.699,0.042
OGLE-LMC-RRLYR-03686,6040.50008,18.538,0.028
OGLE-LMC-RRLYR-03686,6042.49770,18.487,0.039
OGLE-LMC-RRLYR-03686,6047.47476,18.692,0.038
OGLE-LMC-RRLYR-03686,6048.47347,18.487,0.030
OGLE-LMC-RRLYR-03686,6049.49678,18.505,0.026
OGLE-LMC-RRLYR-03686,6050.47237,18.507,0.033
OGLE-LMC-RRLYR-03686,6052.48801,18.621,0.033
OGLE-LMC-RRLYR-03686,6053.48508,18.443,0.032
OGLE-LMC-RRLYR-03686,6055.49368,18.486,0.030
OGLE-LMC-RRLYR-03686,6056.48066,18.667,0.033
OGLE-LMC-RRLYR-03686,6057.47654,18.430,0.024
OGLE-LMC-RRLYR-03686,6058.47703,18.567,0.026
OGLE-LMC-RRLYR-03686,6059.47787,18.418,0.026
OGLE-LMC-RRLYR-03686,6060.48062,18.691,0.033
OGLE-LMC-RRLYR-03686,6061.47175,18.437,0.033
OGLE-LMC-RRLYR-03686,6062.46579,18.703,0.038
OGLE-LMC-RRLYR-03686,6123.91514,18.432,0.019
OGLE-LMC-RRLYR-03686,6137.91309,18.537,0.030
OGLE-LMC-RRLYR-03686,6149.93671,18.651,0.046
OGLE-LMC-RRLYR-03686,6164.92720,18.681,0.046
OGLE-LMC-RRLYR-03686,6165.91301,18.604,0.028
OGLE-LMC-RRLYR-03686,6171.87882,18.508,0.023
OGLE-LMC-RRLYR-03686,6174.90465,18.731,0.042
OGLE-LMC-RRLYR-03686,6179.90484,18.430,0.030
OGLE-LMC-RRLYR-03686,6180.85737,18.627,0.032
OGLE-LMC-RRLYR-03686,6181.87158,18.493,0.023
OGLE-LMC-RRLYR-03686,6182.87614,18.632,0.020
OGLE-LMC-RRLYR-03686,6183.87783,18.482,0.016
OGLE-LMC-RRLYR-03686,6184.90438,18.656,0.020
OGLE-LMC-RRLYR-03686,6185.85410,18.423,0.017
OGLE-LMC-RRLYR-03686,6186.85558,18.683,0.027
OGLE-LMC-RRLYR-03686,6191.88116,18.555,0.017
OGLE-LMC-RRLYR-03686,6193.86844,18.608,0.023
OGLE-LMC-RRLYR-03686,6194.88543,18.444,0.017
OGLE-LMC-RRLYR-03686,6196.80772,18.730,0.035
OGLE-LMC-RRLYR-03686,6196.89463,18.465,0.020
OGLE-LMC-RRLYR-03686,6198.85265,18.511,0.036
OGLE-LMC-RRLYR-03686,6198.89483,18.441,0.027
OGLE-LMC-RRLYR-03686,6199.80766,18.528,0.032
OGLE-LMC-RRLYR-03686,6199.87810,18.588,0.036
OGLE-LMC-RRLYR-03686,6200.82781,18.561,0.032
OGLE-LMC-RRLYR-03686,6200.88391,18.401,0.034
OGLE-LMC-RRLYR-03686,6202.74219,18.644,0.038
OGLE-LMC-RRLYR-03686,6202.81301,18.583,0.037
OGLE-LMC-RRLYR-03686,6202.88197,18.517,0.028
OGLE-LMC-RRLYR-03686,6202.90056,18.493,0.047
OGLE-LMC-RRLYR-03686,6203.74151,18.419,0.031
OGLE-LMC-RRLYR-03686,6203.81141,18.677,0.033
OGLE-LMC-RRLYR-03686,6203.86403,18.665,0.027
OGLE-LMC-RRLYR-03686,6203.89980,18.704,0.058
OGLE-LMC-RRLYR-03686,6204.72554,18.752,0.043
OGLE-LMC-RRLYR-03686,6204.72843,18.735,0.038
OGLE-LMC-RRLYR-03686,6204.78946,18.602,0.030
OGLE-LMC-RRLYR-03686,6204.84794,18.429,0.019
OGLE-LMC-RRLYR-03686,6204.89696,18.443,0.037
OGLE-LMC-RRLYR-03686,6205.71446,18.455,0.038
OGLE-LMC-RRLYR-03686,6206.78333,18.586,0.035
OGLE-LMC-RRLYR-03686,6207.87530,18.630,0.031
OGLE-LMC-RRLYR-03686,6208.77068,18.617,0.024
OGLE-LMC-RRLYR-03686,6210.85807,18.467,0.024
OGLE-LMC-RRLYR-03686,6210.87401,18.461,0.024
OGLE-LMC-RRLYR-03686,6212.82675,18.410,0.023
OGLE-LMC-RRLYR-03686,6214.87796,18.629,0.036
OGLE-LMC-RRLYR-03686,6216.82463,18.452,0.019
OGLE-LMC-RRLYR-03686,6219.80963,18.621,0.027
OGLE-LMC-RRLYR-03686,6221.82291,18.600,0.029
OGLE-LMC-RRLYR-03686,6222.82381,18.484,0.028
OGLE-LMC-RRLYR-03686,6222.86636,18.551,0.030
OGLE-LMC-RRLYR-03686,6222.86921,18.573,0.031
OGLE-LMC-RRLYR-03686,6223.78089,18.632,0.023
OGLE-LMC-RRLYR-03686,6223.85349,18.448,0.019
OGLE-LMC-RRLYR-03686,6223.87511,18.416,0.020
OGLE-LMC-RRLYR-03686,6224.83243,18.606,0.023
OGLE-LMC-RRLYR-03686,6224.87001,18.681,0.027
OGLE-LMC-RRLYR-03686,6225.64502,18.597,0.033
OGLE-LMC-RRLYR-03686,6225.69041,18.556,0.027
OGLE-LMC-RRLYR-03686,6225.72848,18.572,0.029
OGLE-LMC-RRLYR-03686,6225.82355,18.499,0.025
OGLE-LMC-RRLYR-03686,6226.68346,18.513,0.033
OGLE-LMC-RRLYR-03686,6226.74084,18.459,0.026
OGLE-LMC-RRLYR-03686,6226.79546,18.605,0.024
OGLE-LMC-RRLYR-03686,6226.87271,18.654,0.032
OGLE-LMC-RRLYR-03686,6228.62401,18.588,0.032
OGLE-LMC-RRLYR-03686,6228.68148,18.512,0.035
OGLE-LMC-RRLYR-03686,6229.62664,18.464,0.037
OGLE-LMC-RRLYR-03686,6229.69570,18.578,0.033
OGLE-LMC-RRLYR-03686,6229.77242,18.679,0.034
OGLE-LMC-RRLYR-03686,6229.86498,18.442,0.024
OGLE-LMC-RRLYR-03686,6230.64934,18.589,0.038
OGLE-LMC-RRLYR-03686,6230.71435,18.462,0.035
OGLE-LMC-RRLYR-03686,6230.72726,18.386,0.033
OGLE-LMC-RRLYR-03686,6230.86806,18.716,0.041
OGLE-LMC-RRLYR-03686,6231.75208,18.662,0.034
OGLE-LMC-RRLYR-03686,6231.86140,18.487,0.030
OGLE-LMC-RRLYR-03686,6232.81803,18.594,0.024
OGLE-LMC-RRLYR-03686,6232.87190,18.674,0.035
OGLE-LMC-RRLYR-03686,6233.82457,18.427,0.018
OGLE-LMC-RRLYR-03686,6234.82843,18.604,0.020
OGLE-LMC-RRLYR-03686,6235.77582,18.445,0.019
OGLE-LMC-RRLYR-03686,6236.79340,18.593,0.021
OGLE-LMC-RRLYR-03686,6237.86942,18.490,0.026
OGLE-LMC-RRLYR-03686,6238.82716,18.694,0.025
OGLE-LMC-RRLYR-03686,6239.80117,18.472,0.020
OGLE-LMC-RRLYR-03686,6240.84444,18.678,0.029
OGLE-LMC-RRLYR-03686,6241.79809,18.480,0.020
OGLE-LMC-RRLYR-03686,6242.84103,18.649,0.020
OGLE-LMC-RRLYR-03686,6243.80940,18.506,0.018
OGLE-LMC-RRLYR-03686,6244.74284,18.672,0.021
OGLE-LMC-RRLYR-03686,6245.76670,18.472,0.018
OGLE-LMC-RRLYR-03686,6248.78340,18.631,0.020
OGLE-LMC-RRLYR-03686,6251.77401,18.507,0.017
OGLE-LMC-RRLYR-03686,6252.75321,18.624,0.024
OGLE-LMC-RRLYR-03686,6252.83372,18.427,0.024
OGLE-LMC-RRLYR-03686,6252.85770,18.391,0.025
OGLE-LMC-RRLYR-03686,6254.78390,18.532,0.018
OGLE-LMC-RRLYR-03686,6257.81172,18.630,0.031
OGLE-LMC-RRLYR-03686,6262.73601,18.545,0.021
OGLE-LMC-RRLYR-03686,6265.80802,18.710,0.024
OGLE-LMC-RRLYR-03686,6270.82399,18.548,0.019
OGLE-LMC-RRLYR-03686,6274.81560,18.597,0.023
OGLE-LMC-RRLYR-03686,6277.52819,18.480,0.033
OGLE-LMC-RRLYR-03686,6277.53043,18.426,0.029
OGLE-LMC-RRLYR-03686,6277.53267,18.512,0.029
OGLE-LMC-RRLYR-03686,6277.53524,18.550,0.028
OGLE-LMC-RRLYR-03686,6277.67123,18.619,0.020
OGLE-LMC-RRLYR-03686,6277.75599,18.608,0.016
OGLE-LMC-RRLYR-03686,6278.76268,18.508,0.021
OGLE-LMC-RRLYR-03686,6282.78551,18.652,0.027
OGLE-LMC-RRLYR-03686,6286.71877,18.519,0.023
OGLE-LMC-RRLYR-03686,6289.78809,18.472,0.026
OGLE-LMC-RRLYR-03686,6294.80812,18.625,0.028
OGLE-LMC-RRLYR-03686,6299.76652,18.587,0.027
OGLE-LMC-RRLYR-03686,6300.59093,18.488,0.020
OGLE-LMC-RRLYR-03686,6300.67895,18.560,0.021
OGLE-LMC-RRLYR-03686,6300.75468,18.640,0.024
OGLE-LMC-RRLYR-03686,6301.54984,18.691,0.030
OGLE-LMC-RRLYR-03686,6301.57127,18.613,0.025
OGLE-LMC-RRLYR-03686,6301.59310,18.689,0.024
OGLE-LMC-RRLYR-03686,6301.61524,18.618,0.021
OGLE-LMC-RRLYR-03686,6301.63511,18.497,0.028
OGLE-LMC-RRLYR-03686,6301.65735,18.465,0.020
OGLE-LMC-RRLYR-03686,6301.67972,18.442,0.024
OGLE-LMC-RRLYR-03686,6301.69561,18.444,0.023
OGLE-LMC-RRLYR-03686,6301.72208,18.424,0.023
OGLE-LMC-RRLYR-03686,6301.74234,18.544,0.026
OGLE-LMC-RRLYR-03686,6301.76291,18.613,0.025
OGLE-LMC-RRLYR-03686,6301.78297,18.618,0.027
OGLE-LMC-RRLYR-03686,6301.80621,18.560,0.037
OGLE-LMC-RRLYR-03686,6301.82555,18.746,0.036
OGLE-LMC-RRLYR-03686,6302.56536,18.470,0.018
OGLE-LMC-RRLYR-03686,6302.67071,18.617,0.019
OGLE-LMC-RRLYR-03686,6302.76890,18.507,0.020
OGLE-LMC-RRLYR-03686,6303.54191,18.667,0.024
OGLE-LMC-RRLYR-03686,6303.74010,18.477,0.020
OGLE-LMC-RRLYR-03686,6304.54790,18.432,0.017
OGLE-LMC-RRLYR-03686,6305.69024,18.445,0.027
OGLE-LMC-RRLYR-03686,6306.63288,18.639,0.021
OGLE-LMC-RRLYR-03686,6307.62210,18.408,0.016
OGLE-LMC-RRLYR-03686,6308.68125,18.672,0.023
OGLE-LMC-RRLYR-03686,6311.69781,18.499,0.018
OGLE-LMC-RRLYR-03686,6312.68104,18.679,0.024
OGLE-LMC-RRLYR-03686,6317.69217,18.545,0.025
OGLE-LMC-RRLYR-03686,6323.66541,18.615,0.021
OGLE-LMC-RRLYR-03686,6329.62460,18.670,0.031
OGLE-LMC-RRLYR-03686,6333.61499,18.737,0.029
OGLE-LMC-RRLYR-03686,6340.62758,18.497,0.018
OGLE-LMC-RRLYR-03686,6343.57138,18.697,0.028
OGLE-LMC-RRLYR-03686,6347.59765,18.715,0.030
OGLE-LMC-RRLYR-03686,6356.61510,18.702,0.025
OGLE-LMC-RRLYR-03686,6363.53251,18.569,0.029
OGLE-LMC-RRLYR-03686,6371.55721,18.414,0.023
OGLE-LMC-RRLYR-03686,6372.51917,18.695,0.027
OGLE-LMC-RRLYR-03686,6372.58204,18.623,0.026
OGLE-LMC-RRLYR-03686,6373.53275,18.422,0.019
OGLE-LMC-RRLYR-03686,6373.56419,18.453,0.021
OGLE-LMC-RRLYR-03686,6373.59887,18.540,0.023
OGLE-LMC-RRLYR-03686,6374.52452,18.727,0.030
OGLE-LMC-RRLYR-03686,6374.54740,18.596,0.027
OGLE-LMC-RRLYR-03686,6374.56690,18.676,0.028
OGLE-LMC-RRLYR-03686,6374.58786,18.633,0.030
OGLE-LMC-RRLYR-03686,6374.60602,18.549,0.030
OGLE-LMC-RRLYR-03686,6375.51570,18.423,0.020
OGLE-LMC-RRLYR-03686,6375.55750,18.544,0.023
OGLE-LMC-RRLYR-03686,6375.59847,18.555,0.023
OGLE-LMC-RRLYR-03686,6376.52055,18.680,0.036
OGLE-LMC-RRLYR-03686,6376.59120,18.446,0.042
OGLE-LMC-RRLYR-03686,6377.53769,18.462,0.019
OGLE-LMC-RRLYR-03686,6378.54030,18.689,0.032
OGLE-LMC-RRLYR-03686,6387.53040,18.602,0.026
OGLE-LMC-RRLYR-03686,6396.53627,18.476,0.025
OGLE-LMC-RRLYR-03686,6404.52144,18.463,0.032
OGLE-LMC-RRLYR-03686,6416.49748,18.608,0.029
OGLE-LMC-RRLYR-03686,6508.93702,18.557,0.040
OGLE-LMC-RRLYR-03686,6520.88964,18.457,0.018
OGLE-LMC-RRLYR-03686,6531.90078,18.607,0.024
OGLE-LMC-RRLYR-03686,6547.86625,18.492,0.024
OGLE-LMC-RRLYR-03686,6561.83433,18.551,0.024
OGLE-LMC-RRLYR-03686,6568.90006,18.403,0.041
OGLE-LMC-RRLYR-03686,6569.66468,18.634,0.019
OGLE-LMC-RRLYR-03686,6569.71274,18.426,0.017
OGLE-LMC-RRLYR-03686,6569.75777,18.487,0.016
OGLE-LMC-RRLYR-03686,6569.85213,18.621,0.019
OGLE-LMC-RRLYR-03686,6569.89132,18.670,0.023
OGLE-LMC-RRLYR-03686,6571.84109,18.638,0.019
OGLE-LMC-RRLYR-03686,6577.88166,18.640,0.020
OGLE-LMC-RRLYR-03686,6580.79188,18.373,0.028
OGLE-LMC-RRLYR-03686,6583.78784,18.662,0.029
OGLE-LMC-RRLYR-03686,6592.73784,18.513,0.027
OGLE-LMC-RRLYR-03686,6592.75027,18.494,0.025
OGLE-LMC-RRLYR-03686,6592.77858,18.505,0.024
OGLE-LMC-RRLYR-03686,6593.63576,18.561,0.033
OGLE-LMC-RRLYR-03686,6593.66056,18.601,0.029
OGLE-LMC-RRLYR-03686,6593.68250,18.535,0.036
OGLE-LMC-RRLYR-03686,6593.70263,18.602,0.039
OGLE-LMC-RRLYR-03686,6593.79110,18.689,0.031
OGLE-LMC-RRLYR-03686,6593.81892,18.509,0.036
OGLE-LMC-RRLYR-03686,6593.84030,18.511,0.033
OGLE-LMC-RRLYR-03686,6593.85420,18.356,0.025
OGLE-LMC-RRLYR-03686,6593.86829,18.416,0.030
OGLE-LMC-RRLYR-03686,6594.83089,18.591,0.031
OGLE-LMC-RRLYR-03686,6595.70974,18.762,0.026
OGLE-LMC-RRLYR-03686,6595.76252,18.603,0.021
OGLE-LMC-RRLYR-03686,6595.81111,18.429,0.018
OGLE-LMC-RRLYR-03686,6595.85963,18.430,0.021
OGLE-LMC-RRLYR-03686,6596.77333,18.604,0.026
OGLE-LMC-RRLYR-03686,6608.82809,18.621,0.020
OGLE-LMC-RRLYR-03686,6612.76429,18.676,0.024
OGLE-LMC-RRLYR-03686,6616.72615,18.611,0.024
OGLE-LMC-RRLYR-03686,6622.78011,18.490,0.021
OGLE-LMC-RRLYR-03686,6628.80774,18.491,0.020
OGLE-LMC-RRLYR-03686,6638.73311,18.466,0.017
OGLE-LMC-RRLYR-03686,6645.73102,18.713,0.028
OGLE-LMC-RRLYR-03686,6649.73796,18.529,0.021
OGLE-LMC-RRLYR-03686,6654.75807,18.572,0.018
OGLE-LMC-RRLYR-03686,6658.77471,18.663,0.017
OGLE-LMC-RRLYR-03686,6662.73654,18.588,0.025
OGLE-LMC-RRLYR-03686,6667.79669,18.617,0.029
OGLE-LMC-RRLYR-03686,6672.77141,18.522,0.033
OGLE-LMC-RRLYR-03686,6680.76565,18.515,0.021
OGLE-LMC-RRLYR-03686,6690.64827,18.522,0.019
OGLE-LMC-RRLYR-03686,6697.70893,18.606,0.020
OGLE-LMC-RRLYR-03686,6705.67216,18.572,0.032
OGLE-LMC-RRLYR-03686,6712.64150,18.617,0.024
OGLE-LMC-RRLYR-03686,6720.68092,18.635,0.028
OGLE-LMC-RRLYR-03686,6736.61145,18.726,0.044
OGLE-LMC-RRLYR-03686,6871.92099,18.501,0.026
OGLE-LMC-RRLYR-03686,6887.91891,18.694,0.025
OGLE-LMC-RRLYR-03686,6896.88970,18.510,0.028
OGLE-LMC-RRLYR-03686,6907.87185,18.419,0.024
OGLE-LMC-RRLYR-03686,6926.80156,18.678,0.026
OGLE-LMC-RRLYR-03686,6932.81022,18.644,0.027
OGLE-LMC-RRLYR-03686,6938.79567,18.536,0.030
OGLE-LMC-RRLYR-03686,6942.79315,18.453,0.020
OGLE-LMC-RRLYR-03686,6950.84395,18.516,0.019
OGLE-LMC-RRLYR-03686,6956.76766,18.479,0.027
OGLE-LMC-RRLYR-03686,6956.84679,18.591,0.025
OGLE-LMC-RRLYR-03686,6961.84138,18.468,0.024
OGLE-LMC-RRLYR-03686,6967.71280,18.652,0.047
OGLE-LMC-RRLYR-03686,6973.71826,18.514,0.024
OGLE-LMC-RRLYR-03686,6980.75521,18.657,0.023
OGLE-LMC-RRLYR-03686,6987.78616,18.528,0.026
OGLE-LMC-RRLYR-03686,6992.75833,18.467,0.020
OGLE-LMC-RRLYR-03686,6997.76408,18.595,0.032
OGLE-LMC-RRLYR-03686,7002.70789,18.450,0.021
OGLE-LMC-RRLYR-03686,7007.71921,18.712,0.029
OGLE-LMC-RRLYR-03686,7013.67258,18.659,0.027
OGLE-LMC-RRLYR-03686,7016.77825,18.635,0.025
OGLE-LMC-RRLYR-03686,7020.78032,18.575,0.028
OGLE-LMC-RRLYR-03686,7024.75815,18.647,0.028
OGLE-LMC-RRLYR-03686,7028.71132,18.687,0.033
OGLE-LMC-RRLYR-03686,7033.76538,18.587,0.027
OGLE-LMC-RRLYR-03686,7037.73892,18.583,0.021
OGLE-LMC-RRLYR-03686,7042.73649,18.412,0.017
OGLE-LMC-RRLYR-03686,7046.73769,18.450,0.020
OGLE-LMC-RRLYR-03686,7051.72823,18.682,0.025
OGLE-LMC-RRLYR-03686,7056.66864,18.454,0.027
OGLE-LMC-RRLYR-03686,7062.66034,18.477,0.024
OGLE-LMC-RRLYR-03686,7069.65649,18.645,0.029
OGLE-LMC-RRLYR-03686,7074.66764,18.600,0.031
OGLE-LMC-RRLYR-03686,7080.58394,18.528,0.024
OGLE-LMC-RRLYR-03686,7083.61068,18.515,0.025
OGLE-LMC-RRLYR-03686,7086.61881,18.627,0.032
OGLE-LMC-RRLYR-03686,7091.59964,18.404,0.025
OGLE-LMC-RRLYR-03686,7103.56763,18.455,0.018
OGLE-LMC-RRLYR-03686,7112.57999,18.481,0.033
OGLE-LMC-RRLYR-03686,7115.57454,18.597,0.037
OGLE-LMC-RRLYR-03686,7119.53461,18.562,0.037
OGLE-LMC-RRLYR-03686,7126.52357,18.437,0.021
OGLE-LMC-RRLYR-03686,7131.52813,18.624,0.034
OGLE-LMC-RRLYR-03686,7134.49841,18.480,0.031
OGLE-LMC-RRLYR-03686,7137.52831,18.670,0.031
OGLE-LMC-RRLYR-03686,7143.49298,18.647,0.048
OGLE-LMC-RRLYR-03686,7277.90020,18.494,0.027
OGLE-LMC-RRLYR-03686,7287.90032,18.446,0.028
OGLE-LMC-RRLYR-03686,7292.83291,18.604,0.039
OGLE-LMC-RRLYR-03686,7294.79589,18.700,0.029
OGLE-LMC-RRLYR-03686,7297.79481,18.522,0.030
OGLE-LMC-RRLYR-03686,7304.87369,18.454,0.021
OGLE-LMC-RRLYR-03686,7312.79166,18.390,0.020
OGLE-LMC-RRLYR-03686,7319.77027,18.702,0.043
OGLE-LMC-RRLYR-03686,7322.74301,18.465,0.035
OGLE-LMC-RRLYR-03686,7327.84694,18.462,0.028
OGLE-LMC-RRLYR-03686,7339.75707,18.457,0.018
OGLE-LMC-RRLYR-03686,7345.71557,18.442,0.023
OGLE-LMC-RRLYR-03686,7354.79240,18.473,0.025
OGLE-LMC-RRLYR-03686,7361.81525,18.631,0.026
OGLE-LMC-RRLYR-03686,7366.68782,18.509,0.021
OGLE-LMC-RRLYR-03686,7373.84112,18.429,0.021
OGLE-LMC-RRLYR-03686,7377.81301,18.434,0.023
OGLE-LMC-RRLYR-03686,7382.71124,18.589,0.029
OGLE-LMC-RRLYR-03686,7385.72467,18.466,0.023
OGLE-LMC-RRLYR-03686,7390.74648,18.625,0.021
OGLE-LMC-RRLYR-03686,7399.75108,18.534,0.035
OGLE-LMC-RRLYR-03686,7404.74067,18.511,0.023
OGLE-LMC-RRLYR-03686,7408.71377,18.499,0.026
OGLE-LMC-RRLYR-03686,7410.71515,18.482,0.031
OGLE-LMC-RRLYR-03686,7413.67791,18.522,0.032
OGLE-LMC-RRLYR-03686,7416.68479,18.485,0.021
OGLE-LMC-RRLYR-03686,7424.62716,18.461,0.018
OGLE-LMC-RRLYR-03686,7427.66273,18.602,0.027
OGLE-LMC-RRLYR-03686,7431.65292,18.634,0.024
OGLE-LMC-RRLYR-03686,7435.64650,18.690,0.027
OGLE-LMC-RRLYR-03686,7439.65268,18.584,0.026
OGLE-LMC-RRLYR-03686,7443.62429,18.537,0.021
OGLE-LMC-RRLYR-03686,7449.63001,18.436,0.024
OGLE-LMC-RRLYR-03686,7453.60446,18.428,0.018
OGLE-LMC-RRLYR-03686,7462.61893,18.684,0.021
OGLE-LMC-RRLYR-03686,7466.56660,18.709,0.036
OGLE-LMC-RRLYR-03686,7472.57338,18.606,0.034
OGLE-LMC-RRLYR-03686,7476.52907,18.651,0.024
OGLE-LMC-RRLYR-03686,7488.48287,18.569,0.027
OGLE-LMC-RRLYR-03686,7499.50603,18.697,0.035
OGLE-LMC-RRLYR-03686,7507.47825,18.706,0.031
OGLE-LMC-RRLYR-16323,5260.64086,18.712,0.050
OGLE-LMC-RRLYR-16323,5261.64422,18.353,0.040
OGLE-LMC-RRLYR-16323,5262.63801,18.167,0.033
OGLE-LMC-RRLYR-16323,5264.60542,18.155,0.035
OGLE-LMC-RRLYR-16323,5265.60667,18.190,0.047
OGLE-LMC-RRLYR-16323,5266.59924,18.271,0.041
OGLE-LMC-RRLYR-16323,5267.61248,18.353,0.050
OGLE-LMC-RRLYR-16323,5268.59514,18.400,0.048
OGLE-LMC-RRLYR-16323,5269.56442,18.358,0.042
OGLE-LMC-RRLYR-16323,5270.55103,18.382,0.033
OGLE-LMC-RRLYR-16323,5271.57381,18.478,0.040
OGLE-LMC-RRLYR-16323,5273.56227,18.514,0.043
OGLE-LMC-RRLYR-16323,5274.59340,18.653,0.058
OGLE-LMC-RRLYR-16323,5275.57665,18.619,0.044
OGLE-LMC-RRLYR-16323,5276.57271,18.624,0.040
OGLE-LMC-RRLYR-16323,5279.56083,18.725,0.071
OGLE-LMC-RRLYR-16323,5281.53626,18.721,0.057
OGLE-LMC-RRLYR-16323,5282.55570,18.660,0.051
OGLE-LMC-RRLYR-16323,5284.55930,18.809,0.063
OGLE-LMC-RRLYR-16323,5286.54200,18.739,0.060
OGLE-LMC-RRLYR-16323,5288.55569,18.125,0.038
OGLE-LMC-RRLYR-16323,5291.54983,18.250,0.040
OGLE-LMC-RRLYR-16323,5293.54115,18.455,0.052
OGLE-LMC-RRLYR-16323,5295.49732,18.374,0.048
