# OGLE-IV I-band photometry for three LMC RR Lyrae stars spanning Bailey type.
# Source: Soszynski et al. 2016 (Acta Astronomica 66, 131), OGLE-IV Collection of
#   Variable Stars, https://www.astrouw.edu.pl/ogle/ogle4/OCVS/lmc/rrlyr/phot/I/
# Downloaded 2026-08-17.
#
# OGLE-LMC-RRLYR-03686 (RRc, 0.284 d), OGLE-LMC-RRLYR-16323 (RRab, 0.489 d)
#   and OGLE-LMC-RRLYR-12984 (RRab, 0.650 d). Same galaxy, three clocks:
#   an overtone sine, a high-amplitude sawtooth, and a longer, smaller bump.
#
# time_hjd is HJD - 2450000 as stored by OGLE; i_mag is the I-band magnitude
#   and i_mag_error is the catalogue uncertainty. Folding uses the period only.
star,time_hjd,i_mag,i_mag_error
OGLE-LMC-RRLYR-03686,5524.69775,18.651,0.026
OGLE-LMC-RRLYR-03686,5525.73082,18.538,0.020
OGLE-LMC-RRLYR-03686,5526.68287,18.656,0.023
OGLE-LMC-RRLYR-03686,5527.76361,18.558,0.020
OGLE-LMC-RRLYR-03686,5528.70463,18.710,0.030
OGLE-LMC-RRLYR-03686,5529.68497,18.454,0.021
OGLE-LMC-RRLYR-03686,5530.69217,18.675,0.026
OGLE-LMC-RRLYR-03686,5531.77536,18.622,0.020
OGLE-LMC-RRLYR-03686,5532.68346,18.664,0.023
OGLE-LMC-RRLYR-03686,5533.70681,18.485,0.023
OGLE-LMC-RRLYR-03686,5534.73836,18.436,0.020
OGLE-LMC-RRLYR-03686,5535.71514,18.522,0.023
OGLE-LMC-RRLYR-03686,5536.71782,18.427,0.019
OGLE-LMC-RRLYR-03686,5539.72807,18.614,0.021
OGLE-LMC-RRLYR-03686,5540.81220,18.556,0.023
OGLE-LMC-RRLYR-03686,5541.67839,18.559,0.029
OGLE-LMC-RRLYR-03686,5542.73678,18.446,0.019
OGLE-LMC-RRLYR-03686,5543.76830,18.648,0.033
OGLE-LMC-RRLYR-03686,5544.75581,18.478,0.020
